method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.166215,0.069081,0.000359,0.012172,0.349000,0.020000,0.000000,7,-0.019641,0.012172,0.500000,0.025300,0.930126,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.215935,0.101343,0.000714,0.014076,0.399000,0.020000,0.000000,8,-0.019286,0.014076,0.500000,0.019152,0.897864,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.265924,0.118451,0.000936,0.014951,0.399000,0.020000,0.000000,8,-0.019064,0.014951,0.500000,0.016153,0.880756,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.315704,0.151569,0.001422,0.016303,0.449000,0.020000,0.000000,9,-0.018579,0.016303,0.500000,0.011098,0.847635,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.366000,0.168520,0.001692,0.016864,0.449000,0.020000,0.000000,9,-0.018308,0.016864,0.500000,0.008798,0.830682,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.415828,0.201675,0.002250,0.017674,0.499000,0.020000,0.000000,10,-0.017750,0.017674,0.500000,0.004983,0.797523,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.465731,0.218670,0.002548,0.017983,0.499000,0.020000,0.000000,10,-0.017452,0.017983,0.500000,0.003276,0.780525,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.515610,0.251690,0.003144,0.018408,0.549000,0.020000,0.000000,11,-0.016856,0.018408,0.500000,0.000415,0.747500,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.567053,0.268638,0.003455,0.018473,0.549000,0.020000,0.000000,11,-0.016545,0.018473,0.500000,-0.000450,0.730550,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.616273,0.301643,0.004064,0.018518,0.599000,0.020000,0.000000,12,-0.015936,0.018518,0.500000,-0.001923,0.697539,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.665317,0.318640,0.004379,0.018495,0.599000,0.020000,0.000000,12,-0.015622,0.018495,0.500000,-0.002563,0.680539,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.715721,0.351592,0.004987,0.018378,0.649000,0.020000,0.000000,13,-0.015013,0.018378,0.500000,-0.003606,0.647582,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.766911,0.368540,0.005298,0.018287,0.649000,0.020000,0.000000,13,-0.014702,0.018287,0.500000,-0.004060,0.630631,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.815823,0.401536,0.005900,0.018057,0.699000,0.020000,0.000000,14,-0.014101,0.018057,0.500000,-0.004800,0.597631,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.866085,0.418532,0.006206,0.017915,0.699000,0.020000,0.000000,14,-0.013794,0.017915,0.500000,-0.005115,0.580632,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.916151,0.451528,0.006795,0.017613,0.749000,0.020000,0.000000,15,-0.013205,0.017613,0.500000,-0.005650,0.547632,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402230.966162,0.468525,0.007094,0.017440,0.749000,0.020000,0.000000,15,-0.012906,0.017440,0.500000,-0.005874,0.530633,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.016274,0.501520,0.007667,0.017072,0.799000,0.020000,0.000000,16,-0.012333,0.017072,0.500000,-0.006220,0.497633,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.065733,0.518517,0.007957,0.016873,0.799000,0.020000,0.000000,16,-0.012043,0.016873,0.500000,-0.006367,0.480634,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.116513,0.551513,0.008510,0.016467,0.849000,0.020000,0.000000,17,-0.011490,0.016467,0.500000,-0.006592,0.447635,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.165771,0.568510,0.008790,0.016252,0.849000,0.020000,0.000000,17,-0.011210,0.016252,0.500000,-0.006690,0.430636,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.215341,0.601506,0.009323,0.015818,0.899000,0.020000,0.000000,18,-0.010677,0.015818,0.500000,-0.006830,0.397638,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.265428,0.618504,0.009592,0.015589,0.899000,0.020000,0.000000,18,-0.010408,0.015589,0.500000,-0.006887,0.380639,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.315640,0.651499,0.010102,0.015133,0.949000,0.020000,0.000000,19,-0.009898,0.015133,0.500000,-0.006975,0.347642,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.365979,0.668497,0.010360,0.014902,0.949000,0.020000,0.000000,19,-0.009640,0.014902,0.500000,-0.007035,0.330643,1,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.416130,0.684996,0.010606,0.014673,0.949000,0.020000,0.000000,19,-0.009395,0.014673,0.475518,-0.007091,0.314145,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.466442,0.716574,0.010593,0.014614,0.999000,0.020000,0.000000,20,-0.009408,0.014614,0.476610,-0.006741,0.282583,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.516390,0.731210,0.010355,0.014781,0.999000,0.020000,0.000000,20,-0.009646,0.014781,0.451926,-0.006399,0.267964,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.562650,0.762692,0.010378,0.014729,0.999000,0.020000,0.000000,20,0.000000,0.014729,0.000000,0.000000,0.236504,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.612610,0.778950,0.010617,0.014518,0.999000,0.020000,0.000000,20,0.000000,0.014518,0.000000,0.000000,0.220250,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.662732,0.809945,0.011067,0.014463,0.999000,0.020000,0.000000,20,0.000000,0.014463,0.000000,0.000000,0.189266,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.712482,0.822684,0.011250,0.014455,0.999000,0.020000,0.000000,20,0.000000,0.014455,0.000000,0.000000,0.176533,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.762569,0.843619,0.011550,0.014441,0.999000,0.020000,0.000000,20,0.000000,0.014441,0.000000,0.000000,0.155611,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.812561,0.851400,0.011661,0.014436,0.999000,0.020000,0.000000,20,0.000000,0.014436,0.000000,0.000000,0.147835,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.862795,0.862359,0.011818,0.014434,0.999000,0.020000,0.000000,20,0.000000,0.014434,0.000000,0.000000,0.136886,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.912827,0.865308,0.011860,0.014433,0.999000,0.020000,0.000000,20,0.000000,0.014433,0.000000,0.000000,0.133940,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402231.962502,0.866840,0.011881,0.014429,0.999000,0.020000,0.000000,20,0.000000,0.014429,0.000000,0.000000,0.132409,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.012846,0.866792,0.011880,0.014429,0.999000,0.020000,0.000000,20,0.000000,0.014429,0.000000,0.000000,0.132457,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.062505,0.872604,0.008516,0.010361,0.999000,0.020000,0.000000,20,0.000000,0.010361,0.000000,0.000000,0.126917,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.112506,0.878197,0.005250,0.006416,0.999000,0.020000,0.000000,20,0.000000,0.006416,0.000000,0.000000,0.121701,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.162458,0.883803,0.001984,0.002472,0.999000,0.020000,0.000000,20,0.000000,0.002472,0.000000,0.000000,0.116598,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.212831,0.883795,0.001984,0.002470,0.999000,0.020000,0.000000,20,0.000000,0.002470,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.262589,0.883798,0.001984,0.002472,0.999000,0.020000,0.000000,20,0.000000,0.002472,0.000000,0.000000,0.116603,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.312611,0.883795,0.001984,0.002473,0.999000,0.020000,0.000000,20,0.000000,0.002473,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.362697,0.883796,0.001984,0.002474,0.999000,0.020000,0.000000,20,0.000000,0.002474,0.000000,0.000000,0.116604,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.412664,0.883795,0.001984,0.002474,0.999000,0.020000,0.000000,20,0.000000,0.002474,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.462479,0.883795,0.001984,0.002473,0.999000,0.020000,0.000000,20,0.000000,0.002473,0.000000,0.000000,0.116605,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.512508,0.883795,0.001984,0.002473,0.999000,0.020000,0.000000,20,0.000000,0.002473,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.562469,0.883795,0.001984,0.002470,0.999000,0.020000,0.000000,20,0.000000,0.002470,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.612865,0.883795,0.001984,0.002470,0.999000,0.020000,0.000000,20,0.000000,0.002470,0.000000,0.000000,0.116606,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.662652,0.882210,0.004093,0.008098,0.999000,0.020000,0.000000,20,0.000000,0.008098,0.000000,0.000000,0.117868,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.712587,0.880646,0.006140,0.013558,0.999000,0.020000,0.000000,20,0.000000,0.013558,0.000000,0.000000,0.119163,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.762574,0.879056,0.008187,0.019023,0.999000,0.020000,0.000000,20,0.000000,0.019023,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.812825,0.879056,0.008187,0.019027,0.999000,0.020000,0.000000,20,0.000000,0.019027,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.862512,0.879056,0.008187,0.019029,0.999000,0.020000,0.000000,20,0.000000,0.019029,0.000000,0.000000,0.120524,0,0
